Angle (degrees),a,b,c,d
28.438179637614716,0.01826300759516467,0.8793314404617882,0.47585993776422864,0.8093099531195108
28.717546010996752,0.005007261857169172,0.8769990610175007,0.48046599703112775,0.8061606627770015
28.830181236062426,0.005705701274778215,0.8760527889768791,0.48218145536591794,0.8068789529099999
28.924228354968065,0.005058853000531679,0.8752600857377503,0.4836260852359654,0.8075747675059054
28.93443961874553,-0.0013622430612378238,0.8751738751977926,0.4838066064711401,0.8076493572623705
28.70326548068991,0.0020172228310729803,0.8771187927160776,0.4802692518539371,0.805306738495566
28.728597398232562,0.001995017778714767,0.8769063659034576,0.48065709746351815,0.8056701958655912
28.804680990325167,0.0026135194616087893,0.8762673184736472,0.48181817741864796,0.8072660068647145
28.703450502863593,0.001572752871034695,0.877117241790206,0.4802737454855802,0.8056070968490898
28.773530465054126,0.0012881644639701725,0.8765291473433419,0.4813470624090979,0.8073490368741685
28.655632469769387,0.003002862945133455,0.8775177663051623,0.4795347251585971,0.8046763406768452
28.795392365670587,0.0018079692783895917,0.8763454190649728,0.4816798083072669,0.8070847804509313
28.698777439044118,0.0025783310927305933,0.8771564103775445,0.48019785916053065,0.8052574683037751
28.701003106131,0.006595976745136884,0.8771377560560066,0.48019355471706493,0.8065592741063055
29.51395195507038,0.01019316346555926,0.8702357612806163,0.49253001858456363,0.8110826252249134
29.70013408648686,0.0093363860088364,0.8686303549383279,0.4953727267179821,0.8135206131007208
30.182793747650926,0.00690971335200622,0.8644258227648153,0.5027128930102801,0.8180855262545864
30.537319478306635,0.0031564460907926384,0.8612983937084288,0.5080896710654099,0.821982730015735
30.60197802234097,0.0056464568015357035,0.860724452852932,0.5090398155219384,0.823242828248509
30.879630896953607,0.004530303668017996,0.8582474194753454,0.5132161760044067,0.8237540888776762
31.571320393375142,0.011388355554916336,0.8519891104429614,0.5234356321883008,0.8219343711985648
31.94558943685655,0.011189618383165775,0.8485509480576986,0.5289953506325173,0.8205092458432927
31.628690027679834,0.021149990993056277,0.8514644490586556,0.523985658076854,0.8160632975829974
31.526981521216655,0.024150278788139884,0.8523940166875726,0.5223420377010463,0.8137677535539081
30.147362722452222,0.032048966831671154,0.8647365584729929,0.5012021031134111,0.8116947692981125
30.24953626250377,0.029014254259948566,0.8638395825948006,0.5029307592424426,0.8098371354449349
31.12435362538411,0.0292209783029717,0.8560474542757984,0.5160706254525074,0.8039122783911195
30.38943030020917,0.028160796322393884,0.8626070056466412,0.5050902130905176,0.802878269167422
30.348297137313658,0.025959954082625695,0.862969955345942,0.5045878882357867,0.8038769741673104
29.57911335020625,0.023100546133416743,0.8696749336950924,0.49308404402370865,0.8066801909618312
29.406242811210575,0.01857562784747226,0.8711603182490397,0.4906471705393846,0.8089175555419061
29.574023529574195,0.015916463070657173,0.8697187809983475,0.4932908961070219,0.8117354509931312
29.88573884845134,0.019380442433218785,0.8670207976979223,0.4978949033785656,0.8072402837582563
29.988106085069923,0.012568078613590529,0.8661291791122183,0.4996621743641974,0.8095835893104738
29.627625904762436,0.009140717419903702,0.8692566679531462,0.4942765344460965,0.8142211727788164
30.942045770345658,3.3001962113123144e-05,0.8576878190781696,0.5141707925541896,0.8163857215798979
31.34536479487504,0.011285691893374354,0.8540472252813192,0.5200730430889181,0.8149830979012498
31.757078003398068,0.014317066123179832,0.8502872129523328,0.526124203118787,0.8230280271162745
31.02629372112651,0.011877408485040004,0.8569308532943383,0.5152945175721518,0.8203071947356646
31.12318751104967,0.011882620477164227,0.8560579742674426,0.5167432128472692,0.8164057246299877
31.39605063025505,0.015072802637217397,0.853586708183817,0.520732697487468,0.8188931844701111
30.997749389558585,0.008622204860415065,0.8571875310260494,0.5149322229544494,0.820662143119804
31.57213142924962,0.010135578976623512,0.8519816992438211,0.5234734512775409,0.8214030906093153
31.210516441814615,0.007545677809635143,0.8552691636899746,0.5181290576559516,0.819642948112124
31.208671232383608,0.007791364528234767,0.8552858513517748,0.5180978740703903,0.820590796153813
31.148874247707422,0.009017837795078277,0.8558261616538991,0.5171849375516031,0.8199527048295305
31.103309384627064,0.00863662099399437,0.8562372483836163,0.5165105838782585,0.8192332315816285
31.223132202711778,0.008519759421301709,0.8551550458031564,0.5183022876052206,0.821060644563764
31.282726696573786,0.007579353729812887,0.8546154138533542,0.5192061708043334,0.8216082311436633
31.498599689814373,0.009634428066850118,0.8526529339765335,0.5223888895995337,0.8265249820010767
31.463012312538954,0.008724985469552833,0.8529772892332307,0.5218750987361683,0.825255683932361
31.486382100403084,0.0075612041947176285,0.8527643262580304,0.5222411627330932,0.8260873519949737
30.859064969899727,0.007339685706433001,0.8584315867861231,0.5128755597818923,0.8149892727070872
31.1856414618661,0.00874316816047044,0.8554940528192961,0.5177388169737063,0.8213901277208229
30.99824164299867,0.008828453213206515,0.8571831063632815,0.5149360936846992,0.8174050392043675
31.124118263634035,0.007808309904161484,0.8560495775984247,0.5168347424370765,0.8192516111515765
