処理名,時間（秒）
平面,0.06578969955444336
平面,0.07794880867004395
平面,0.07185077667236328
平面,0.08457016944885254
平面,0.07657694816589355
平面,0.08424234390258789
平面,0.0760660171508789
平面,0.0791616439819336
平面,0.07315993309020996
平面,0.07965755462646484
平面,0.0950007438659668
平面,0.08116841316223145
平面,0.07368087768554688
平面,0.07628178596496582
平面,0.07389521598815918
セグメンテーション,0.05609464645385742
平面,0.07418966293334961
セグメンテーション,0.028556108474731445
平面,0.06819272041320801
セグメンテーション,0.03047633171081543
平面,0.06819534301757812
セグメンテーション,0.04273176193237305
平面,0.08326840400695801
セグメンテーション,0.02890753746032715
平面,0.07269597053527832
セグメンテーション,0.028413772583007812
平面,0.09922289848327637
セグメンテーション,0.03165030479431152
平面,0.15036225318908691
セグメンテーション,0.03447747230529785
平面,0.2003030776977539
セグメンテーション,0.15134000778198242
平面,0.17459607124328613
セグメンテーション,0.18433856964111328
平面,0.15125322341918945
セグメンテーション,0.034650325775146484
平面,0.1452653408050537
セグメンテーション,0.12109041213989258
平面,0.13998723030090332
セグメンテーション,0.03376293182373047
平面,0.136488676071167
セグメンテーション,0.029033184051513672
平面,0.07414507865905762
平面,0.0760793685913086
