処理名,時間（秒）,成功率（%）
平面,0.05958390235900879,
平面,0.06089043617248535,
平面,0.06147503852844238,
平面,0.06543898582458496,
平面,0.0751655101776123,
平面,0.06701326370239258,
平面,0.06825947761535645,
平面,0.0685126781463623,
平面,0.06253719329833984,
平面,0.06649351119995117,
平面,0.06520891189575195,
平面,0.0707399845123291,
平面,0.06670904159545898,
平面,0.07130813598632812,
平面,0.06088566780090332,
平面,0.05901527404785156,
平面,0.06327319145202637,
平面,0.06487345695495605,
平面,0.06413388252258301,
平面,0.0594022274017334,
セグメンテーション,0.03423810005187988
平面,0.05995059013366699,
セグメンテーション,0.03343677520751953
平面,0.06307530403137207,
セグメンテーション,0.030173063278198242
平面,0.06530284881591797,
セグメンテーション,0.03598594665527344
平面,0.0652167797088623,
セグメンテーション,0.0249481201171875
平面,0.06285357475280762,
セグメンテーション,0.023195981979370117
平面,0.06623148918151855,
セグメンテーション,0.025142431259155273
平面,0.07547426223754883,
セグメンテーション,0.02462935447692871
平面,0.10558724403381348,
セグメンテーション,0.025783777236938477
平面,0.15888547897338867,
セグメンテーション,0.055201053619384766
平面,0.19067931175231934,
セグメンテーション,0.05434894561767578
平面,0.15015196800231934,
セグメンテーション,0.14137029647827148
平面,0.1622006893157959,
セグメンテーション,0.14338040351867676
平面,0.13019132614135742,
セグメンテーション,0.08036136627197266
平面,0.12193107604980469,
セグメンテーション,0.02918100357055664
平面,0.13164091110229492,
セグメンテーション,0.0277554988861084
平面,0.11989283561706543,
セグメンテーション,0.0255281925201416
平面,0.1278538703918457,
セグメンテーション,0.023656845092773438
平面,0.054358720779418945,
成功率,,100.0
