name,distance
bottle,0.616
bottle,0.619
bottle,0.614
bottle,0.605
bottle,0.604
bottle,0.603
bottle,0.598
bottle,0.600
bottle,0.598
bottle,0.597
bottle,0.600
bottle,0.589
bottle,1.744
bottle,1.732
bottle,1.736
bottle,1.722
bottle,1.734
bottle,1.705
bottle,1.710
bottle,1.710
bottle,1.715
bottle,1.732
bottle,1.728
bottle,0.597
bottle,0.596
bottle,0.588
bottle,1.694
bottle,1.688
bottle,1.706
bottle,1.703
bottle,1.692
bottle,1.614
bottle,1.696
bottle,1.700
bottle,1.718
bottle,1.731
bottle,1.712
bottle,1.724
bottle,1.713
bottle,1.722
bottle,1.734
bottle,1.705
bottle,1.720
bottle,1.713
bottle,1.703
bottle,1.677
bottle,1.646
bottle,1.655
bottle,1.693
bottle,1.681
bottle,1.690
bottle,1.674
bottle,0.588
bottle,1.709
bottle,0.588
bottle,0.586
bottle,0.590
bottle,1.693
bottle,1.684
bottle,1.669
bottle,1.685
bottle,1.646
bottle,1.654
bottle,1.670
bottle,1.670
bottle,1.673
bottle,1.701
bottle,1.669
bottle,1.701
bottle,1.673
bottle,1.630
bottle,1.701
bottle,1.670
bottle,1.736
bottle,1.743
bottle,0.582
bottle,0.596
bottle,0.576
bottle,0.574
bottle,1.748
bottle,1.752
bottle,1.750
bottle,1.767
bottle,1.794
bottle,1.781
bottle,1.784
bottle,1.767
bottle,1.776
bottle,1.781
bottle,1.761
bottle,0.600
bottle,0.600
bottle,0.580
bottle,0.580
bottle,0.579
bottle,0.580
bottle,0.580
bottle,0.594
bottle,0.600
bottle,0.599
bottle,0.601
bottle,0.601
bottle,0.598
bottle,1.781
bottle,0.598
bottle,0.596
bottle,1.746
bottle,1.754
bottle,1.765
bottle,0.581
bottle,1.772
bottle,0.581
bottle,1.748
bottle,0.578
bottle,0.576
bottle,0.568
bottle,0.575
bottle,0.564
bottle,0.566
bottle,0.569
bottle,0.565
bottle,0.587
bottle,0.561
bottle,0.561
