name,distance
bottle,1.220
bottle,1.196
bottle,1.273
bottle,1.270
bottle,1.265
bottle,1.058
bottle,0.789
bottle,0.668
bottle,1.207
bottle,0.623
bottle,1.220
bottle,1.221
bottle,0.648
bottle,0.651
bottle,0.659
bottle,0.665
bottle,0.671
bottle,1.203
bottle,1.207
bottle,1.211
bottle,1.226
bottle,1.228
bottle,1.232
bottle,1.233
bottle,1.225
bottle,1.230
bottle,1.231
bottle,1.239
bottle,1.232
bottle,1.233
bottle,1.238
bottle,1.240
bottle,1.235
bottle,1.240
bottle,3.106
bottle,1.231
bottle,1.227
bottle,1.231
bottle,1.222
bottle,1.223
bottle,3.106
bottle,1.224
bottle,0.688
bottle,1.235
bottle,1.244
bottle,1.250
bottle,1.257
bottle,1.260
bottle,3.145
bottle,1.264
bottle,1.267
bottle,1.269
bottle,1.269
bottle,1.271
bottle,1.278
bottle,1.274
bottle,1.277
bottle,1.274
bottle,1.279
bottle,1.274
bottle,1.267
bottle,1.270
bottle,1.269
bottle,1.266
bottle,1.268
bottle,1.266
bottle,1.266
bottle,1.272
bottle,1.266
bottle,1.271
bottle,1.265
bottle,1.246
bottle,0.632
bottle,0.628
bottle,1.250
bottle,1.252
bottle,1.241
bottle,1.240
bottle,1.237
bottle,1.242
bottle,1.241
bottle,1.240
bottle,1.243
bottle,1.243
bottle,1.240
bottle,1.246
bottle,1.247
bottle,1.244
bottle,1.244
bottle,1.239
bottle,1.251
bottle,1.257
bottle,1.260
bottle,1.257
bottle,1.257
bottle,1.257
bottle,1.253
bottle,1.258
bottle,1.257
bottle,1.261
bottle,1.266
bottle,1.260
bottle,1.261
bottle,1.263
bottle,1.266
bottle,1.265
bottle,1.263
bottle,1.266
bottle,1.264
bottle,1.264
bottle,1.266
bottle,1.268
bottle,1.267
bottle,1.261
bottle,1.262
bottle,1.257
bottle,1.260
bottle,1.260
bottle,1.261
bottle,1.261
bottle,1.263
bottle,1.260
bottle,1.264
bottle,1.262
bottle,1.258
bottle,0.633
bottle,0.627
bottle,0.633
bottle,0.633
bottle,1.263
bottle,1.264
bottle,1.263
bottle,1.264
bottle,1.263
bottle,1.264
bottle,1.267
bottle,1.262
bottle,1.264
bottle,1.265
bottle,1.262
bottle,1.247
bottle,1.258
bottle,1.255
bottle,1.269
bottle,1.271
bottle,1.266
bottle,1.270
bottle,1.265
bottle,1.269
bottle,1.269
bottle,1.265
bottle,1.267
bottle,1.264
bottle,1.268
bottle,1.272
bottle,1.271
bottle,1.269
bottle,1.268
bottle,1.271
bottle,1.269
bottle,1.268
bottle,1.268
bottle,1.267
bottle,1.266
bottle,1.270
bottle,1.267
bottle,1.267
bottle,1.267
bottle,1.271
bottle,1.270
bottle,1.270
bottle,1.271
bottle,1.265
bottle,1.264
bottle,1.267
bottle,1.266
bottle,1.268
bottle,1.272
bottle,1.270
bottle,1.270
bottle,1.264
bottle,1.266
bottle,1.268
bottle,1.268
bottle,1.261
bottle,1.266
bottle,1.269
bottle,1.266
bottle,1.267
bottle,1.264
bottle,1.270
bottle,1.269
bottle,1.273
bottle,1.267
bottle,1.271
bottle,1.273
bottle,1.273
bottle,1.279
bottle,1.273
bottle,1.277
bottle,1.287
bottle,1.284
bottle,1.293
bottle,1.291
bottle,1.290
bottle,1.292
bottle,1.296
bottle,1.296
bottle,1.295
bottle,1.296
bottle,1.296
bottle,1.295
bottle,1.291
bottle,1.298
bottle,1.292
bottle,1.294
bottle,1.295
bottle,1.297
bottle,1.294
bottle,1.304
bottle,0.677
bottle,1.319
bottle,1.318
bottle,1.316
bottle,1.311
bottle,1.317
bottle,1.316
bottle,1.324
bottle,1.318
bottle,1.318
bottle,1.329
bottle,1.331
bottle,1.337
bottle,3.273
bottle,1.353
bottle,1.359
bottle,1.370
bottle,1.374
bottle,1.390
bottle,1.401
bottle,1.400
bottle,1.409
bottle,1.406
bottle,1.404
bottle,1.409
bottle,1.409
bottle,1.411
bottle,1.409
bottle,1.419
bottle,1.414
bottle,1.412
bottle,1.408
bottle,1.417
bottle,1.408
bottle,1.418
bottle,1.419
bottle,1.412
bottle,1.402
bottle,4.030
bottle,1.404
bottle,1.404
bottle,1.400
bottle,1.415
bottle,1.401
bottle,1.403
bottle,1.402
bottle,1.391
bottle,1.389
bottle,1.376
bottle,1.367
bottle,1.361
bottle,1.365
bottle,1.359
