name,distance
bottle,0.491
bottle,0.480
bottle,0.467
bottle,0.471
bottle,0.464
bottle,1.246
bottle,1.305
bottle,1.551
bottle,1.296
bottle,1.248
bottle,1.246
bottle,0.453
bottle,0.452
bottle,1.245
bottle,1.293
bottle,1.243
bottle,0.454
bottle,0.451
bottle,1.300
bottle,1.310
bottle,0.455
bottle,0.456
bottle,0.453
bottle,1.244
bottle,1.288
bottle,1.299
bottle,0.452
bottle,1.241
bottle,1.668
bottle,1.668
bottle,1.238
bottle,1.671
bottle,0.457
bottle,0.457
bottle,1.239
bottle,0.457
bottle,0.459
bottle,1.298
bottle,0.461
bottle,0.461
bottle,0.461
bottle,0.459
bottle,0.467
bottle,0.472
bottle,0.454
bottle,0.453
bottle,0.445
bottle,0.441
bottle,0.441
bottle,0.434
bottle,0.427
bottle,0.437
bottle,0.333
bottle,0.269
