X,Y,Z
-19.099054866373436,1.5829102737868797,65.535
-1.0853135207865583,1.0607135560012657,4.673
-1.606445684708407,1.3131105093014679,9.282
-1.5904581588173932,1.4649333567460467,9.68
-1.5555829782366652,1.363994444521773,9.282
-1.4273047547155673,1.3051321899069077,8.687
-1.494384226155936,1.347509625957811,9.035
-1.5145629616945107,1.3657051073487192,9.157
-1.343118508383287,1.203138921151263,8.067
-1.343118508383287,1.194294260400946,8.067
-1.891493739299524,1.5461091096914181,10.929
-1.5747762523424407,1.3155064222795168,9.157
-2.4509113409412975,1.5843949907009411,12.785
-2.107089803564423,1.342405619573207,10.929
-2.5979468511878343,1.6794462975345448,13.552
-2.666204126040114,1.6986117040056619,13.829
-2.4980700573958585,1.6005936159445933,13.031
-2.2919831260658667,1.4601992868044913,11.888
-2.0951122444385955,1.342405619573207,10.929
-2.361769864716213,1.5267693613950408,12.32
-2.2016986117098787,1.4106989240368086,11.485
-2.4194226319818775,1.5413897081182335,12.549
-2.2919831260658667,1.4601992868044913,11.888
-2.2919831260658667,1.4601992868044913,11.888
-2.1650835107228015,1.3996211986684735,11.294
-0.6145383437845011,1.0507600073289647,5.2940000000000005
-2.041345671162971,1.288912011471516,10.588000000000001
-1.9682054546299803,1.2723491098573767,10.267
-2.6510483327240677,1.6986117040056619,13.829
-2.706258537353797,1.7339866530803334,14.117
-2.2652634274233874,1.4222099575011067,11.683
-2.5762693794551526,1.61747014510975,13.287
-2.4056696454808244,1.5551484347521403,12.549
-20.32003928711541,0.3614162464379037,65.535
-21.110088029948454,-0.5008148316907851,65.535
-21.2537332559181,-0.5726674215348425,65.535
-21.32555586890292,-0.7163726012229573,65.535
-20.679152352039523,-0.06969929262644069,65.535
-21.038265416963633,-0.4289622418467277,65.535
-20.96644280397881,-0.3571096520026703,65.535
-20.463684513085056,0.1458584769057315,65.535
-20.679152352039523,-0.06969929262644069,65.535
-20.391861900100235,0.2177110667497889,65.535
-20.32003928711541,0.2895636565938463,65.535
-20.391861900100235,0.2177110667497889,65.535
-20.391861900100235,0.2177110667497889,65.535
-20.96644280397881,-0.3571096520026703,65.535
-20.535507126069877,0.07400588706167412,65.535
-21.541023707857388,-0.9319303707551295,65.535
-21.68466893382703,-1.0756355504432442,65.535
-21.32555586890292,-0.7163726012229573,65.535
-21.541023707857388,-0.9319303707551295,65.535
-20.32003928711541,0.2895636565938463,65.535
-20.176394061145768,0.4332688362819611,65.535
-19.81728099622166,0.7925317855022481,65.535
-20.32003928711541,0.2895636565938463,65.535
-22.762008128599362,-2.081571808260048,65.535
-23.04929858053865,-2.2971295777922203,65.535
-6.641335961393167,-3.466613599685963,9.411
-6.930672667818754,-3.6176402255356326,9.821
-8.594513570954838,-4.677554730407601,12.549
-9.296296787524286,-5.03655776899682,13.552
-7.994922869612303,-4.469799613984671,11.294
-0.7221877317147485,1.1875454279360425,6.05
-8.340047713379914,-4.523459465312155,12.1
-0.7629100116825204,1.2292080681111883,6.333
-8.518688975720893,-4.673242437755999,12.32
-7.614077420360362,-4.044604771000642,10.756
-0.7220623437885146,1.198341295462734,6.105
-8.983457993797193,-4.8215284003397345,13.287
-7.255221561524541,-3.7632272675623457,11.109
-8.032616414325787,-4.186967002528466,12.32
-9.056266955323808,-4.879799880389051,13.287
-9.188785549260738,-4.78220175859012,14.117
-7.739936079589636,-4.155034371250865,11.485
-8.419865298165146,-4.429102681322275,12.785
-9.783527194051246,-1.856701985378475,19.93
-9.819738571214042,-5.3669357236027455,13.829
-11.663092066087012,-6.287168726989916,16.527
-17.375312154737706,6.900001922247127,65.535
-0.4619567273825502,2.6276529036002936,9.821
