X,Y,Z
-1.6240890165913195,-0.3063156812939022,4.235
-1.64479758964821,-0.31022147746624473,4.289
-0.5728607587383948,0.9942961074311631,4.982
-1.1588376156420688,-0.012017619226834395,1.836
-1.1588376156420688,-0.03416051850951668,1.836
-1.144494273023144,-0.2812703506580275,1.807
-1.1691955882682479,-0.3784189018491582,1.846
-1.535803273982027,-0.004118038621340938,3.872
-1.5183509640504131,-0.020859323229819517,3.8280000000000003
-1.553652227321178,-0.22319048515443024,3.9170000000000003
-1.5718978240678652,-0.2258115631010996,3.963
-1.5996628625954326,-0.021976397749702746,4.033
-1.748301623211459,1.0560474468810679,8.916
-1.5773036033869612,1.0589404460068386,8.47
-1.265785392936373,0.993453481887179,7.133
-1.8607524325763387,0.990894483321386,9.035
-1.6442289066291362,1.0252987275092067,8.577
-2.418506340835944,0.9829288723057759,10.929
-1.2695742428017713,0.7292758714722333,6.333
-2.0148845678019303,0.7239133030074452,8.8
-0.6168482613513261,0.7575378587324693,4.4
-1.7605206907035162,0.9717771783995233,8.687
-1.6747948645071784,0.9244579949687648,8.264
-1.4185710458782241,0.9247846929972253,7.529
-1.4345862589077962,0.9352252161616249,7.614
-1.5104208412418054,0.941859469983099,7.8790000000000004
-1.647624250009281,0.9244579949687648,8.264
-1.731959324761692,0.9717771783995233,8.687
-1.4103196923547219,0.9330394904174727,7.529
-0.7475803475457844,0.857739457319355,4.982
-1.4020683388312196,0.94129428783772,7.529
-1.764132849621915,0.9747696783232358,8.8
-1.8923629066431835,1.078110111669007,9.544
-1.9867589123115303,1.1147415198286232,9.965
-1.9976799825548164,1.1038158914194367,9.965
-1.919328681507336,1.0934729548361262,9.68
-1.8714435500145992,1.099038199483814,9.544
-1.865991965048093,1.0630861547482215,9.411
-1.9539957015816722,1.1475184050561824,9.965
-1.8302415931840705,1.0586908331999416,9.282
-1.683026920901678,-0.022379634405660598,4.107
-1.714171319730148,-0.022793769349617306,4.183
-1.0563411756167438,-0.22306015679915372,2.678
-1.1168531176409404,-0.20016289961995384,2.946
-0.8012604006037587,-0.2237800903780707,1.856
-0.7691846921189309,-0.1830952766055063,1.877
-0.8108826140483896,0.011514502007836477,2.606
-0.7943388104832978,-0.010881859394163917,2.5
-0.792181181610181,-0.19037201400908277,1.412
-0.7451312519293886,-0.35217750615520593,1.25
-0.7342028506955164,-0.3253514664085558,1.296
-0.7381865506865195,-0.32172771143580786,1.334
-0.720366970809084,-0.321083738839925,1.2790000000000001
-0.75858426047104,-0.37472879204317505,1.234
-0.7823238488302596,-0.22948948903894203,1.342
-0.7805641655994758,-0.4075414486000822,1.113
-0.8472079478597709,1.1637516559096668,6.393
-0.9531417263975795,1.1364266121848183,6.643
-0.9746230820248052,1.178487873414489,6.845
-0.35020462504728367,1.0753747238923708,4.2090000000000005
-0.8719868700912429,-0.3113369741708875,1.372
-0.8562062712358154,-0.365051626304719,1.311
-0.8431312503240035,-0.3510024608109186,1.241
-0.8569972920499662,-0.4008532653909593,1.451
-0.8550978171111967,-0.4041038707398721,1.391
-0.8554142809029087,-0.4156740839195881,1.3940000000000001
