name,X,Y,Z,median_x,median_y
slope,0,0,0,24,269
slope,0,0,0,22,282
slope,0,0,0,24,267
slope,0,0,0,18,327
slope,0,0,0,28,329
slope,0,0,0,19,287
slope,0,0,0,23,273
slope,0,0,0,24,243
slope,0,0,0,36,306
slope,0,0,0,30,304
slope,0,0,0,31,300
slope,0,0,0,36,290
slope,0,0,0,29,280
slope,0,0,0,30,279
slope,0,0,0,22,283
slope,0,0,0,26,323
slope,0,0,0,24,308
slope,0,0,0,21,275
slope,0,0,0,24,295
slope,0,0,0,28,258
slope,0,0,0,32,293
slope,0,0,0,30,264
slope,0,0,0,32,273
slope,0,0,0,34,295
slope,0,0,0,22,274
slope,0,0,0,22,278
slope,0,0,0,20,265
slope,0,0,0,22,268
slope,0,0,0,26,277
slope,0,0,0,22,265
slope,0,0,0,27,249
slope,0,0,0,24,239
slope,0,0,0,22,238
slope,0,0,0,22,244
slope,0,0,0,18,220
slope,0,0,0,22,294
slope,0,0,0,22,291
slope,0,0,0,22,292
slope,0,0,0,24,279
slope,0,0,0,20,293
slope,0,0,0,22,273
slope,0,0,0,22,309
slope,0,0,0,22,289
slope,0,0,0,22,289
slope,0,0,0,24,297
slope,0,0,0,22,275
slope,0,0,0,22,288
slope,0,0,0,22,277
slope,0,0,0,22,252
slope,0,0,0,20,290
slope,0,0,0,26,292
