name,X,Y,Z,distance
slope,-22.833830741584183,-2.440834757480335,65.535,69.442
slope,-22.61836290262972,-2.7282451168565647,65.535,69.382
slope,-13.64182528782379,-4.7967573998316855,19.361,24.165
slope,-1.397021119174083,0.10958370618347252,9.965,10.063
slope,-13.200861894949627,-3.5490387098747225,18.823,23.263
slope,-12.427686812130155,-4.066023985361344,17.832,22.112
slope,-13.200861894949627,-3.0950127913584606,18.823,23.198
slope,-14.310796377314972,-3.691536450623711,20.534,25.300
slope,-1.5884404381764565,0.23500271583907542,11.888,11.996
slope,-1.46403010658753,0.2241942955869355,9.282,9.399
slope,-1.5034683972270986,0.11457857738053494,8.687,8.817
slope,-0.9435951659182117,0.22686725613794087,5.743,5.824
slope,-0.8058485794182285,0.19196032950360586,7.2860000000000005,7.333
slope,-0.6155359676140333,0.3226984652404184,5.253,5.299
slope,-0.5812614660442679,0.4521372137139969,6.986,7.025
slope,3.703564991503166,0.23052255516932907,9.544,10.240
slope,4.663935867143689,0.2317833061686968,11.109,12.051
slope,2.55423353682703,-0.2922575215572738,4.372,5.072
slope,2.1676149350304037,0.13527891019529095,6.16,6.532
slope,2.121582658497487,0.1639009902533873,5.743,6.125
slope,1.759123496448253,0.21686032661270682,4.706,5.029
slope,1.9289608004449592,0.2685285133658577,3.548,4.047
slope,4.75605157553487,-0.2872223013724811,10.929,11.922
slope,4.456588360891885,-0.22057334083807167,9.157,10.186
slope,4.3635832581087834,0.14886246132753297,8.47,9.529
slope,0.8014890776628405,0.3223217088184735,2.4290000000000003,2.578
slope,-0.901020384442883,0.07562841366999103,2.297,2.469
slope,-1.4032848282756458,0.04861317214072683,2.766,3.102
slope,-1.7448954971292037,0.0588840591542193,3.8280000000000003,4.207
slope,-1.9427232520283875,0.06556004705205921,4.2620000000000005,4.684
slope,2.76309079114376,0.1784856902503358,5.421,6.087
slope,1.1547218766147918,0.11841770205912318,1.999,2.312
slope,-0.7643807846118497,0.050923030012885916,1.657,1.826
slope,0.4865413223087978,0.2550166605458124,1.418,1.521
slope,0.4967364965883897,0.2460280842814858,1.476,1.577
slope,-1.191689573258567,0.05034925279627567,2.547,2.812
slope,-1.327315450726888,0.007286803286631037,3.274,3.533
slope,-1.0661352345551094,0.03601740816443434,1.822,2.111
slope,0.6232691245333932,0.06956809425776435,1.981,2.078
slope,0.9081950043763464,0.03243267571179021,1.737,1.960
slope,-0.955008609880409,0.04828317139391124,1.999,2.216
slope,-0.9557145291021182,0.04562537775752959,2.596,2.767
slope,-0.8717586010675142,0.0921172530596687,1.999,2.183
slope,0.9822895616864168,0.12859957681788034,1.987,2.220
slope,-0.6679972000747842,0.17612123313173775,1.131,1.325
slope,-0.6168475652831481,0.16747879773128665,0.979,1.169
slope,-0.9533694507944481,0.04072137119893615,3.7030000000000003,3.824
slope,-0.5976641463683015,0.18180534037392176,0.9420000000000001,1.130
slope,-0.617213445366909,0.17866159945147866,0.931,1.131
slope,-7.867812891709759,-0.07100779545657736,13.031,15.222
slope,-7.491349590309093,-0.34452994382554814,12.1,14.235
slope,-20.68318996995589,-0.3168108868180891,48.401,52.636
slope,-4.366676353381359,0.02250610100158946,19.93,20.403
slope,-1.5200097148535237,0.07302385828223848,16.527,16.597
slope,-1.863896620564246,0.040616932250174126,7.365,7.597
slope,2.356712684581648,0.11937973920075207,4.183,4.803
slope,2.6450582656423864,0.060395453646307065,4.579,5.288
slope,3.0181907188010983,0.03555534907338655,5.378,6.167
slope,4.846675297171813,-0.03781228502284078,8.687,9.948
slope,-1.4521376359434999,-0.262106920906072,2.491,2.895
slope,-2.0199808700986006,-0.32958219675940925,18.823,18.934
slope,-1.9469179084375359,-0.7420106557736876,28.234,28.311
slope,-1.8018749348899326,-0.4663667633467189,19.361,19.450
slope,-1.916836211197761,-0.3708572802608876,18.823,18.924
slope,-1.8460158854183215,-0.17566612712139798,8.916,9.107
slope,-1.974515954683995,-0.25189450821523923,12.785,12.939
slope,-1.8641441361473503,-0.18135816131591587,7.529,7.758
